symbol	S01	S02	S03	S06	S08	S10	S11	S12	S14	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S29	S30	S31
A2M	12.786	11.65	13.473	13.363	12.542	9.843	13.679	12.109	13.802	15.753	12.995	12.995	13.802	13.978	15.753	13.05	12.923	13.802	14.203	15.335	11.682	12.109	12.693	11.342
ABCB1	9.859	11.397	12.109	9.47	10.498	12.246	8.743	10.444	11.881	11.682	11.516	10.541	10.746	10.919	11.904	10.789	9.66	11.576	10.11	11.541	11.516	11.176	11.445	10.01
ABCF1	10.251	9.082	6.37	9.797	9.629	5.977	10.865	9.993	9.398	9.19	7.423	9.053	9.43	9.252	9.929	6.078	8.704	7.415	8.91	9.064	10.389	9.773	9.242	9.006
ABL1	9.959	7.972	7.921	9.513	9.032	7.662	9.773	9.381	8.975	9.221	8.361	8.869	8.43	8.765	9.134	8.672	9.361	7.616	9.959	8.881	9.128	9.036	8.69	9.283
ADA	10.166	8.435	8.863	8.488	8.923	10.052	8.584	8.578	8.627	8.119	8.574	8.232	8.693	8.653	8.55	8.791	8.748	10.123	8.438	8.143	8.612	8.132	8.393	8.86
ADGRE5	9.724	9.598	9.521	8.653	8.931	10.22	9.959	9.242	9.164	9.707	9.715	9.949	9.27	9.748	10.13	10.15	10.196	9.786	9.006	9.393	7.808	9.663	9.236	9.1
ADORA2A	10.412	8.208	9.116	7.921	8.361	8.944	7.986	8.197	7.97	7.634	8.98	7.806	7.618	8.684	8.717	9.252	8.958	8.484	8.425	7.863	5.727	7.359	8.077	7.204
AGK	9.223	9.573	11.47	8.743	9.019	11.445	9.381	9.303	9.573	8.752	10.427	8.43	9.134	9.168	9.913	9.87	8.748	9.892	9.528	8.958	9.558	9.506	9.521	9.314
AICDA	3.702	3.239	3.371	4.018	4.308	5.977	3.825	4.15	4.17	3.728	4.113	4.458	3.484	3.978	3.998	3.618	3.276	5.251	3.877	3.812	4.613	3.825	3.239	3.968
AIRE	8.497	8.484	9.004	7.475	7.483	9.582	8.525	8.145	6.852	7.332	8.963	7.27	7.46	7.886	8.615	8.757	8.418	9.506	8.405	7.85	8.216	7.751	7.824	7.685
AKT3	10.56	9.748	10.959	10.237	10.327	11.754	8.82	9.767	9.227	9.724	10.56	9.582	9.449	9.564	8.432	10.285	10.251	8.372	9.74	8.967	8.713	9.539	9.634	9.326
ALAS1	7.692	10.007	8.875	10.682	10.279	6.265	9.573	10.903	10.88	10.671	7.616	9.904	11.031	11.221	10.402	7.535	10.08	7.265	9.323	11.275	10.166	12.144	11.495	11.078
ALCAM	6.048	8.528	6.12	9.43	10.262	7.132	8.675	10.123	10.047	10.8	7.123	9.859	10.291	9.34	10.302	6.578	9.344	8.178	9.47	9.164	9.694	10.22	9.707	9.993
AMBP	13.363	13.31	12.391	15.753	13.363	8.881	15.753	15.335	15.753	14.924	12.345	15.753	15.753	15.753	14.924	10.682	15.753	15.753	14.924	16.441	15.753	16.441	15.753	15.335
AMMECR1L	10.737	9.982	11.089	8.898	9.773	12.443	10.22	10.279	9.643	9.479	11.047	9.283	9.592	9.674	9.756	9.859	9.982	11.941	10.302	9.479	10.052	10.01	9.79	10.062
ANP32B	11.708	10.427	9.79	11.368	11.13	10.041	11.576	10.11	10.768	10.997	10.833	10.067	10.166	9.833	11.164	10.858	10.427	11.321	11.47	10.343	10.374	10.522	10.36	10.657
ANXA1	8.713	9.1	6.725	10.08	9.227	3.402	9.982	9.437	9.939	10.737	10.02	10.72	10.572	9.971	9.27	8.937	10.903	6.281	8.383	10.61	7.386	9.782	9.982	9.403
APOE	15.335	15.753	15.753	16.441	13.679	7.63	14.654	15.753	16.441	16.441	13.584	16.441	16.441	16.441	16.441	13.875	16.441	16.441	16.441	15.753	16.441	15.753	16.441	16.441
APP	11.682	9.364	7.792	11.445	11.421	4.676	10.997	12.295	12.854	12.443	9.828	12.345	12.144	10.938	12.443	9.161	13.05	10.61	11.881	11.421	12.051	10.903	12.051	10.02
ARG1	8.745	8.99	10.572	13.221	11.221	8.802	11.736	12.995	11.65	11.445	9.418	11.47	12.109	14.924	10.657	8.246	10.285	10.737	8.597	11.808	12.923	12.391	12.786	10.682
ARG2	7.649	6.725	7.405	8.18	6.048	7.738	7.391	9.294	6.388	6.281	7.525	6.754	5.328	7.228	6.395	6.234	6.155	7.391	6.919	7.372	9.724	7.692	5.815	8.253
ATF1	7.664	5.937	4.14	9.371	9.087	6.641	9.453	9.1	8.615	8.344	5.563	8.706	8.704	8.528	7.449	5.157	7.601	7.046	7.153	7.581	9.67	8.775	8.558	9.446
ATF2	9.521	6.869	5.714	10.004	9.982	6.582	10.327	10.072	9.843	9.777	6.484	9.396	9.413	9.002	10.072	7.001	8.5	7.023	8.361	9.288	9.982	9.863	9.467	9.756
ATG10	8.041	8.119	9.016	8.855	8.875	9.147	8.173	8.549	8.199	7.964	8.14	8.178	8.333	8.781	8.881	8.021	8.153	7.682	7.202	7.988	8.858	8.542	8.612	8.648
ATG12	7.734	7.032	8.327	8.031	7.532	8.073	7.352	7.561	6.758	6.497	8.124	7.232	6.526	8.054	6.947	7.898	7.843	7.209	7.281	6.701	8.126	7.446	7.084	6.863
ATG16L1	10.522	9.648	10.746	9.176	9.592	11.164	9.993	9.358	9.426	8.706	10.166	9.095	9.002	9.5	9.682	9.715	9.773	8.379	9.517	8.732	9.573	9.303	9.303	9.423
ATG5	9.561	8.644	9.539	8.886	8.729	9.913	9.393	9.542	8.91	8.958	9.152	8.875	9.112	8.978	9.04	8.589	8.5	8.427	9.69	9.134	9.736	9.604	9.288	9.036
ATG7	9.236	9.23	9.674	8.975	9.273	9.223	9.437	9.023	9.407	9.236	9.506	9.185	9.303	9.168	9.23	9.496	8.881	8.713	9.016	9.393	9.242	9.682	9.276	9.195
ATM	9.04	7.283	7.17	7.596	7.64	8.062	6.993	7.755	5.977	7.104	7.352	7.703	6	7.088	7.964	7.81	6.981	7.194	8.597	7.656	7.792	6.258	6.858	6.09
AXL	9.549	8.653	8.015	8.578	9.358	9.095	8.802	8.895	8.802	9.344	7.953	9.446	9.506	9.032	8.342	9.098	9.939	7.972	8.473	9.276	7.734	8.266	9.314	8.95
BATF	7.81	7.816	8.418	6.461	8.871	8.067	7.26	6.852	6.938	7.598	8.855	7.679	7.283	7.088	6.328	7.843	6.603	7.306	6.938	6.808	7.346	7.145	6.913	6.625
BAX	10.622	10.547	10.649	10.354	10.444	10.779	10.768	10.374	11.198	10.196	10.196	10.02	10.72	10.317	10.36	10.072	10.737	10.56	10.833	10.302	10.262	10.173	10.183	10.343
BCL10	10.427	10.322	11.837	9.993	10.48	12.295	10.08	10.08	10.637	9.856	11.445	9.756	9.797	9.517	10.354	10.262	9.682	11.47	10.166	9.939	10.978	10.374	9.866	10.818
BCL2	7.856	9.403	8.625	8.14	8.612	7.175	7.495	8.484	7.93	8.531	9.159	8.794	8.457	8.103	8.796	10.139	8.019	8.316	6.754	7.442	8.253	7.42	8.49	8.188
BCL2L1	12.051	10.343	8.067	10.746	10.671	9.298	11.342	10.498	10.402	11.198	8.55	10.833	10.649	10.455	10.978	9.41	10.412	10.412	11.808	10.291	11.808	11.708	10.455	11.047
BCL6	10.21	9.965	6.966	9.652	10.229	5.778	10.01	9.639	10.412	9.387	8.82	9.553	9.314	9.208	9.521	10.997	9.143	6.461	9.592	8.775	9.598	10.135	8.778	9.479
BID	7.642	6.938	7.568	7.05	8.537	7.798	7.073	6.516	8.006	7.394	7.175	7.816	7.46	7.937	7.145	6.448	7.588	9.27	7.646	6.953	8.915	6.625	7.919	8.638
BIRC5	11.275	8.435	8.771	11.106	9.536	8.658	10.444	9.971	9.874	9.561	8.383	8.617	8.333	7.988	9.553	8.32	8.675	9.954	9.109	8.441	10.01	8.934	9.413	9.682
BLK	3.276	4.613	5.405	3.601	3.402	5.518	4.081	3.677	2.775	4.937	4.294	4.613	5.27	3.618	4.458	3.917	4.42	3.778	4.439	3.897	3.618	4.15	6.812	4.17
BLNK	3.968	5.42	5.967	7.804	8.077	5.208	5.13	9.195	9.046	7.831	6.054	8.29	7.689	7.813	7.337	6.301	6.395	6.484	6.997	7.664	8.783	6.395	7.886	9.536
BMI1	8.258	7.145	7.5	9.823	9.288	7.638	9.212	9.874	8.52	9.614	7.64	9.053	9.823	8.435	8.752	7.274	8.075	7.709	8.484	8.743	10.444	9.965	9.252	9.215
BST1	7.986	8.763	8.846	8.275	7.961	9.643	8.255	7.839	9.33	8.239	8.836	8.395	8.204	8.268	8.119	8.182	8.295	9.288	7.769	8.462	8.81	8.094	8.167	9.027
BST2	9.223	11.975	9.549	10.166	9.227	7.595	9.034	10.978	10.61	11.13	10.348	10.779	11.495	10.903	11.516	11.106	9.601	8.923	9.748	11.736	10.522	11.736	11.776	11.275
BTK	7.028	7.202	7.634	7.26	7.64	7.766	7.232	6.754	6.359	7.827	7.988	7.649	7.423	6.48	6.803	7.497	7.255	7.352	7.511	7.217	7.77	7.605	6.468	7.49
BTLA	8.568	8.86	9.66	7.972	7.095	10.622	8.293	7.87	8.18	8.511	9.252	8.034	8.16	7.798	8.309	8.702	8.449	9.152	8.606	7.961	8.354	9.044	8.206	8.344
C1QA	9.398	10.173	8.863	9.279	11.252	8.346	10.737	9.573	9.982	10.833	8.944	10.622	10.183	9.913	10.455	12.202	10.529	8.123	9.185	10.959	9.068	9.843	10.512	9.939
C1QB	10.703	10.938	11.252	9.756	11.599	10.768	10.959	10.15	9.732	11.599	10.903	10.746	10.229	10.101	10.919	12.48	10.56	8.459	9.892	11.516	8.612	10.327	10.444	9.823
C1QBP	11.198	10.865	8.041	11.176	10.833	7.755	11.541	10.768	11.014	10.435	9.752	9.913	10.072	11.031	11.708	9.147	10.02	8.658	9.698	10.779	11.039	10.427	10.166	10.522
C1R	8.488	11.754	8.374	13.31	11.682	5.977	11.881	14.422	13.679	13.221	7.525	12.854	12.854	12.923	11.808	8.092	12.345	12.025	10.535	13.679	13.802	13.05	13.802	11.975
C1S	8.615	11.495	9.528	12.923	12.202	8.309	11.708	13.875	12.923	13.363	10.407	12.786	12.923	13.133	12.995	10.183	11.445	12.596	10.173	13.473	13.221	13.473	13.133	12.051
C2	9.929	11.837	10.929	11.495	10.903	7.32	12.295	12.443	12.596	10.919	9.859	12.144	12.443	11.754	12.48	11.541	11.708	11.495	11.541	11.682	13.133	11.682	12.144	12.542
C3	11.014	12.295	8.81	13.875	13.221	7.642	11.65	14.924	13.978	13.978	11.576	14.654	15.335	15.335	12.923	11.397	14.203	13.978	13.584	13.221	12.995	14.422	14.654	14.924
C3AR1	7.986	8.058	8.906	8.425	8.452	9.358	8.482	8.036	8.288	8.447	8.655	8.385	8.359	8.312	8.425	8.757	7.964	8.268	8.213	8.644	8.354	8.312	8.14	7.755
C4B	12.923	15.335	14.924	13.473	15.753	8.425	13.978	13.802	15.335	14.203	15.335	13.875	13.133	13.679	13.679	14.654	13.221	14.422	10.903	12.854	13.584	13.679	15.335	13.978
C4BPA	8.395	13.133	12.025	12.202	11.397	9.852	8.86	12.854	14.422	12.638	10.8	12.923	12.693	12.542	11.941	10.354	9.506	11.089	12.345	12.995	11.495	14.924	12.923	13.875
C5	11.47	10.833	10.88	8.781	11.904	9.549	8.944	11.576	13.221	11.031	9.674	11.736	10.997	11.304	11.837	10.737	11.321	11.776	9.517	11.47	12.542	11.031	11.808	12.48
C6	9.33	10.746	11.808	9.134	10.566	11.221	8.565	13.363	12.246	9.19	10.649	10.237	11.837	11.941	9.107	10.233	9.744	11.904	9.539	11.089	12.786	11.304	12.596	12.596
C7	6.102	7.846	7.568	8.537	7.411	7.299	6.476	8.024	8.689	10.547	6.808	10.541	10.88	11.368	6.803	7.921	12.295	6.997	6.342	8.867	8.791	6.185	10.302	7.618
C8A	8.204	9.164	8.961	10.535	9.913	8.978	8.126	10.237	10.322	9.044	8.9	10.8	11.106	10.471	10.833	9.934	8.028	11.176	8.704	10.427	11.039	11.516	12.025	10.572
C8B	7.573	11.13	9.564	11.321	11.624	9.057	9.242	12.025	11.975	9.582	8.76	11.708	11.975	11.708	8.361	8.637	9.361	11.837	10.067	12.109	11.576	11.776	12.109	12.443
C8G	6.582	11.708	12.246	10.649	10.959	6.959	10.594	11.321	12.295	9.797	11.151	11.321	11.516	12.025	9.999	11.505	11.837	12.246	10.489	11.176	11.776	11.445	11.736	13.05
C9	8.675	10.997	12.295	9.707	12.144	10.88	8.421	13.473	13.584	10.512	10.703	12.246	10.419	12.596	9.564	10.858	10.865	9.929	8.374	11.941	11.736	9.166	13.875	12.693
CAMP	8.6	8.208	8.625	6.618	7.025	9.048	6.54	7.495	6.591	6.762	8.427	6.258	6.775	7.431	7.772	7.579	8.113	9.032	8.222	7.634	6.595	7.399	7.2	6.131
CARD11	8.817	8.713	8.39	7.023	7.522	9.446	7.511	7.405	7.132	7.977	8.836	7.915	7.717	7.861	7.779	8.748	7.571	7.565	8.414	7.863	6.595	7.431	7.372	6.335
CARD9	7.761	6.869	7.2	7.132	7.772	7.453	7.471	7.023	6.415	6.845	7.314	7.449	6.824	7.18	7.541	8.687	7.14	7.766	7.522	7.204	6.295	7.028	6.288	6.953
CASP1	7.341	7.649	7.816	9.279	8.617	9.002	8.316	8.449	8.342	8.702	8.073	8.653	8.785	7.921	7.703	8.266	7.964	8.239	8.316	9.072	8.253	8.562	8.452	8.83
CASP10	8.687	8.224	9.368	7.426	7.544	10.455	8.372	7.785	7.19	7.687	9.208	7.289	7.638	7.9	8.69	9.233	8.228	9.159	8.031	7.685	8.273	8.333	8.008	8.333
CASP3	8.479	9.044	8.418	9.682	9.242	8.457	9.212	9.257	8.927	8.844	8.232	8.675	8.963	9.349	8.95	8.344	8.653	8.028	5.647	8.342	8.931	9.479	8.98	9.161
CASP8	9.604	10.367	10.455	9.833	9.152	10.471	9.639	9.614	10.196	9.493	10.728	9.929	9.959	9.959	10.517	10.63	10.183	10.169	10.959	9.542	9.198	9.807	9.648	9.892
CC2D1B	7.554	7.806	8.208	7.953	8.146	9.939	7.865	7.495	8.531	7.785	8.056	7.783	7.525	7.573	8.028	7.561	7.63	10.374	7.788	7.816	8.9	7.959	8.105	8.235
CCL1	8.001	8.423	9.833	7.202	6.869	9.674	7.79	6.887	7.464	7.104	8.975	6.164	7.695	8.126	8.079	8.971	8.432	8.995	8.316	7.467	7.77	7.209	7.863	7.685
CCL11	7.867	8.603	9.47	7.224	6.553	9.513	8.379	7.475	8.3	7.598	9.201	7.046	7.779	8.213	7.87	8.5	8.432	9.368	8.243	7.607	8.031	8.006	7.853	8.221
CCL13	6.812	7.61	8.077	6.501	6.25	8.743	7.375	7.394	7.525	7.299	8.14	5.584	7.35	6.966	9.441	7.544	7.456	8.471	7.551	7.251	7.213	7.289	6.633	7.372
CCL14	7.738	8.372	9.185	9.04	8.054	8.713	8.462	9.095	9.582	9.371	8.802	9.5	9.176	9.859	8.284	8.16	9.913	8.379	7.876	9.407	9.634	8.473	10.402	8.423
CCL15	8.067	8.998	9.257	9.573	8.288	9.79	9.195	10.389	9.866	8.14	9.221	8.927	9.598	9.982	9.782	8.447	8.763	10.279	9.604	9.215	10.938	9.128	9.756	11.13
CCL16	8.745	11.881	10.296	11.031	9.39	10.343	10.412	9.674	11.368	9.656	9.463	10.444	11.708	12.051	11.342	8.713	8.855	12.542	9.147	11.624	12.144	10.101	11.754	11.014
CCL17	8.447	7.337	7.646	7.327	7.283	8.796	7.058	6.919	7.986	6.586	7.666	7.217	7.44	8.021	8.846	8.729	8.01	9.147	6.799	7.156	7.695	6.566	7.402	6.526
CCL18	7.761	8.258	7.467	8.525	6.812	8.17	8.379	9.276	7.892	10.402	7.525	8.915	7.843	6.662	7.618	7.17	8.075	9.407	8.281	10.703	8.729	7.863	8.09	7.967
CCL19	9.484	11.031	10.062	9.268	8.069	10.007	7.892	9.143	8.372	9.913	9.604	11.252	10.737	10.091	8.213	9.283	11.397	7.964	8.333	9.782	8.675	7.898	8.178	7.05
CCL2	8.077	7.687	7.921	8.216	8.193	8.405	8.834	8.796	8.354	8.848	8.156	9.971	9.715	9.091	8.232	8.637	9.762	8.019	7.834	8.663	7.939	8.031	9.294	9.573
CCL20	8.855	9.358	9.023	7.525	8.895	9.69	12.109	9.69	10.279	10.959	10.637	10.682	9.398	8.349	14.203	8.655	10.389	7.999	11.275	8.993	8.534	8.9	9.257	10.88
CCL21	8.737	10.237	8.459	8.726	7.776	9.257	7.605	8.635	9.598	9.624	8.278	10.818	10.8	10.335	8.012	8.86	11.65	9.773	8.675	9.929	9.767	6.803	9.023	6.762
CCL22	8.512	8.006	8.799	7.202	5.947	8.781	7.834	5.869	7.222	6.295	8.29	6.845	7.703	7.662	6.959	8.702	7.767	8.427	6.572	6.547	7.734	7.411	7.477	6.429
CCL23	5.699	5.891	6.048	4.15	7.346	7.405	7.495	5.563	6.812	5.463	6.484	7.046	6.943	6.803	5.882	6.725	6.443	7.42	6.328	5.714	7.808	5.9	7.145	6.875
CCL24	2.562	4.676	4.14	2.775	2.883	2.562	2.883	2.35	5.38	2.35	2.35	3.276	2.775	3.105	4.4	3.203	4.696	4.783	3.276	3.728	3.484	2.35	2.775	3.048
CCL25	6.376	7.099	7.378	6.364	4.757	7.861	6.82	10.101	6.455	6.497	7.579	5.584	12.995	6.966	7.346	7.108	6.959	8.435	7.946	7.327	6.824	6.953	7.084	8.098
CCL26	9.506	9.298	11.014	8.105	8.586	11.014	7.886	7.946	8.024	7.37	10.407	7.558	7.758	8.167	8.783	9.553	8.357	8.275	9.312	7.503	7.213	8.312	8.374	7.028
CCL27	6.484	6.402	7.479	6.288	5.714	7.508	6.421	5.563	6.234	4.859	7.236	5.947	5.594	6.125	6.25	7.032	5.93	7.289	6.211	5.435	5.937	6.131	5.762	6.429
CCL28	4.4	3.897	5.594	3.677	4.308	4.041	4.081	4.225	4.329	3.957	4.859	4.696	7.092	4.783	3.825	4.17	4.081	3.571	5.38	3.371	4.613	4.15	4.478	6.301
CCL3	10.72	11.067	13.221	8.995	9.604	13.679	9.479	9.624	10.173	9.036	12.638	9.674	9.261	10.498	10.279	11.342	11.176	12.693	9.882	9.993	9.112	8.975	9.694	9.131
CCL3L1	8.788	9.949	10.851	8.488	8.944	11.65	9.087	9.481	9.344	9.124	11.221	9.959	8.748	9.852	9.79	9.326	10.36	12.48	9.33	10.072	8.745	8.427	9.176	9.016
CCL4	9.682	10.851	12.443	8.592	9.614	12.923	9.674	9.208	9.794	9.453	12.144	9.221	8.912	10.139	9.939	10.903	10.643	12.391	10.101	9.833	8.944	9.14	9.413	9.982
CCL5	7.964	9.314	7.977	8.603	9.92	8.32	8.923	8.402	8.438	9.068	7.861	9.016	9.201	8.804	8.178	11.252	8.729	7.883	9.201	10.522	8.253	8.024	9.036	7.975
CCL7	3.702	4.329	4.14	4.081	3.812	6.49	4.28	4.098	3.728	3.432	4.859	3.601	3.647	3.851	3.998	4.081	3.484	3.778	4.018	4.113	3.371	4.294	4.041	4.113
CCL8	7.508	7.984	8.783	7.023	6.388	9.152	8.065	7.721	7.601	7.525	8.609	7.123	7.2	7.598	7.714	7.85	7.795	8.619	8.073	8.019	7.734	7.942	7.028	8.119
CCND3	9.74	9.521	10.041	8.767	9.643	9.208	10.052	8.869	9.159	8.74	9.393	8.783	8.625	9.077	8.834	9.833	9.336	9.81	9.323	8.216	9.446	8.359	9.032	8.971
CCR1	8.542	8.558	9.336	8.32	8.202	9.242	8.255	7.682	8.119	7.714	9.072	7.666	8.062	8.075	8.156	8.702	8.395	8.813	8.129	7.806	7.446	8.167	8.077	7.772
CCR2	8.409	8.961	9.223	7.986	7.449	9.707	8.024	7.821	8.312	8.584	8.713	8.012	8.278	7.975	8.103	8.306	8.418	9.396	8.612	8.271	7.588	8.374	8.126	8.178
CCR3	8.713	8.791	9.929	7.381	7.268	9.314	7.818	7.61	7.601	7.618	9.236	6.443	7.213	7.561	8.178	8.119	8.228	8.975	8.771	7.79	7.986	8.381	7.813	7.743
CCR4	9.288	9.273	10.296	7.785	7.761	10.296	7.961	7.8	7.95	7.97	9.663	7.145	7.772	7.861	8.333	8.54	8.374	8.737	8.622	7.727	7.848	8.176	7.87	7.079
CCR5	5.762	5.685	6.12	5.606	7.996	6.913	6	5.563	5.13	7.467	5.785	7.538	6	5.328	5.922	5.575	5.392	6.981	6.448	7.79	4.613	6.078	5.42	5.922
CCR6	9.878	8.634	10.173	7.099	6.869	10.737	8.895	8.271	8.637	8.021	9.43	7.848	8.246	8.268	8.568	9.057	8.33	9.225	7.613	8.405	7.848	8.534	7.944	7.437
CCR7	6.308	6.812	7.104	5.405	4.308	7.396	5.38	6.234	5.778	6.947	6.919	7.861	6.335	5.509	6.421	7.088	6.328	7.24	6.402	6.185	6.516	5.617	5.463	5.647
CCR9	7.283	7.306	7.621	6.586	6.913	7.888	6.308	6.887	7.156	7.483	7.505	4.696	6.048	5.42	7.108	6.824	6.892	8.511	7.85	6.887	6.824	7.279	6.198	7.156
CCRL2	9.407	9.719	11.516	8.167	8.634	10.48	8.706	8.337	8.713	8.327	10.237	7.942	8.465	8.606	8.931	9.303	8.944	9.604	8.881	8.806	8.767	9.082	8.757	8.724
CD14	9.349	10.657	9.349	10.327	10.052	7.846	10.13	11.397	10.302	10.412	9.314	11.198	11.067	10.851	10.88	11.904	10.938	8.028	9.807	11.067	10.622	10.302	10.8	10.21
CD160	9.027	9.513	11.445	8.412	8.197	12.109	8.224	8.462	8.324	8.071	12.48	7.001	7.736	8.702	8.52	9.349	8.836	10.354	9.558	8.185	8.216	8.702	8.051	8.689
CD163	9.294	9.152	9.198	9.221	9.5	9.929	9.715	8.675	9.667	9.674	8.867	9.66	9.47	9.549	9.04	9.892	9.446	10.22	8.875	9.904	8.89	9.381	10.22	9.14
CD164	12.078	8.66	8.275	10.637	11.837	8.622	11.904	11.342	10.737	10.637	8.344	11.151	11.13	10.653	10.622	7.61	10.851	8.5	10.653	10.865	11.421	10.865	10.768	10.622
CD180	8.615	9.072	10.444	8.376	8.176	10.682	8.552	8.263	8.312	8.266	9.949	7.721	8.303	8.374	8.352	9.528	8.767	9.413	7.253	8.511	7.986	8.971	7.99	8.471
CD19	7.831	8.029	7.265	6.741	7.251	8.084	7.197	7.923	7.426	8.638	7.151	8.146	7.824	7.703	6.146	7.44	7.352	8.823	7.132	7.942	7.77	6.816	7.967	7.937
CD1A	7.37	8.293	9.41	7.185	7.283	9.198	7.375	7.415	7.788	7.32	9.227	5.947	6.925	7.588	7.937	8.15	7.755	9.201	8.528	7.156	7.314	8.153	6.526	8.295
CD1B	3.105	4.215	2.883	3.154	3.203	5.778	2.883	3.154	3.957	3.677	2.883	3.978	3.484	2.991	4.215	2.991	3.978	4.566	2.35	3.728	2.35	3.825	3.239	2.775
CD1C	7.772	8.634	9.843	7.902	7.007	10.139	7.664	7.97	8.66	8.182	9.582	8.199	7.892	8.248	8.32	7.81	8.374	9.573	9.053	7.837	7.503	8.851	7.769	8.361
CD1D	5.208	5.891	7.251	9.33	7.511	7.084	5.762	5.699	6.438	6.438	6.947	7.776	8.757	6.25	6.438	5.785	6.185	8.145	6.501	5.9	7.503	5.957	8.178	7.302
CD1E	8.558	9.285	10.374	8.126	8.124	10.865	7.64	8.163	8.452	7.801	10.512	7.324	7.93	8.578	8.528	9.294	8.931	10.052	9.276	7.88	7.659	8.589	7.801	8.253
CD2	5.435	5.833	6.408	4.844	6.725	7.036	5.405	5.405	4.921	6.395	6.301	7.306	5.922	4.991	5.77	5.575	5.13	6.382	5.844	7.041	4.613	5.77	5.289	4.806
CD200	10.02	9.882	11.736	8.791	6.869	11.047	8.146	8.395	7.867	8.397	10.938	7.926	8.409	8.167	8.767	9.075	8.785	8.484	8.95	8.261	7.588	9.208	7.666	7.783
CD207	9.1	8.838	9.939	7.763	7.213	10.56	7.886	8.105	7.662	7.27	9.521	6.875	7.283	7.544	8.004	8.672	7.185	8.542	8.414	7.42	6.824	8.243	7.417	7.522
CD209	8.528	9.225	9.982	7.505	8.435	9.728	8.447	7.902	8.6	7.703	9.807	7.656	8.15	8.295	9.016	9.344	8.689	8.841	8.658	7.532	7.386	8.447	8.327	8.537
CD22	9.866	8.944	8.947	7.734	9.364	11.599	7.446	8.121	7.738	8.578	8.182	7.977	8.103	8.796	8.32	8.589	8.648	8.5	8.726	8.303	5.937	7.573	7.666	6.526
CD24	14.654	12.596	13.584	8.75	13.133	10.427	12.693	13.133	11.031	10.166	13.978	11.221	12.638	10.978	12.078	12.596	13.363	9.719	14.422	10.025	9.387	8.75	8.732	11.516
CD244	4.113	3.239	3.742	4.42	3.968	5.208	5.762	4.991	3.825	4.498	3.203	4.349	5.1	3.851	4.14	4.757	3.799	3.571	4.257	5.509	3.048	4.844	5.36	3.728
CD247	8.333	8.592	9.285	8.476	8.399	9.542	8.012	8.414	8.452	8.589	8.855	8.525	8.228	8.66	7.483	8.603	8.82	9.233	9.208	8.695	7.77	8.067	8.126	7.479
CD27	7.586	8.528	7.5	6.987	7.926	8.39	7.853	7.352	7.405	8.836	7.525	8.421	8.228	7.758	7.426	8.881	7.156	9.124	8.067	8.178	7.27	6.987	7.442	6.395
CD274	7.772	8.381	9.103	7.772	6.812	8.757	7.876	7.175	6.501	7.375	8.617	6.993	7.302	6.839	7.274	10.471	7.493	7.363	8.17	8.06	8.55	8.275	7.934	7.915
CD276	11.13	9.874	9.959	10.522	10.703	9.558	11.106	10.594	10.959	10.279	9.624	10.48	10.389	10.21	10.291	9.242	11.576	10.746	10.919	9.982	11.176	10.196	10.11	10.903
CD28	6.793	6.987	7.456	7.327	6.25	7.679	7.151	7.036	6.812	7.054	7.337	7.692	6.335	6.125	6.858	6.421	6.359	7.127	6.421	6.102	5.937	7.381	5.882	6.754
CD33	4.696	4.676	3.371	5.499	5.552	5.778	5.499	4.42	5.42	4.783	4.6	6.938	5.1	4.937	4.731	5.449	4.991	4.38	4.882	5.07	5.937	5.594	4.731	4.257
CD34	7.299	7.64	7.965	8.357	7.801	7.666	6.82	8.121	7.565	7.394	7.372	7.89	7.493	7.956	7.217	7.359	7.831	7.426	7.561	7.224	7.386	7.806	7.508	6.839
CD36	9.312	9.892	10.052	10.389	10.041	10.36	10.291	9.493	10.166	9.823	10.381	8.81	9.549	9.715	10.72	9.312	9.634	10.072	10.36	10.15	9.273	10.237	10.389	9.859
CD37	8.024	7.471	7.839	6.966	7.19	7.581	6.242	7.337	6.359	7.411	7.488	7.522	7.05	7.588	6.725	7.81	7.63	6.913	7.281	7.449	4.364	6.155	6.364	5.535
CD38	8.248	8.867	9.032	7.396	9.04	9.036	8.09	7.601	7.687	8.156	8.514	8.034	7.588	7.068	8.056	8.054	7.843	8.781	7.986	8.589	7.127	7.616	7.801	8.145
CD3D	8.855	9.782	10.123	8.071	8.867	10.671	8.617	8.834	8.3	8.823	9.592	8.763	8.603	8.374	8.558	9.564	8.443	8.123	9.072	9.364	7.9	8.082	8.473	7.656
CD3E	7.058	8.199	7.751	7.294	8.266	7.721	7.127	6.943	6.078	8.165	7.44	8.494	7.595	7.012	7.068	7.74	6.816	6.138	6.919	8.316	6.824	6.713	7.352	6.174
CD3EAP	9.23	9.034	9.303	8.337	8.995	12.854	9.14	8.476	8.589	8.213	8.783	8.129	8.612	8.752	9.536	9.107	8.86	10.997	8.995	8.232	8.571	7.97	8.552	8.376
CD3G	6.376	6.962	7.568	5.9	6.618	7.548	6.281	5.815	5.833	6.662	7.046	6.681	5.937	5.714	6.048	7.063	5.666	6.603	6.788	6.832	6.415	6.102	5.922	6.174
CD4	8.606	9.242	8.695	8.675	8.834	9.082	9.034	9.004	8.571	9.732	8.971	9.225	9.023	8.855	9.453	9.993	9.326	7.984	8.261	9.913	8.273	8.844	9.082	8.278
