symbol	S01	S02	S03	S06	S08	S10	S11	S12	S14	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S29	S30	S31
LY96	5.804	7.672	6.12	8.52	11.047	4.676	8.18	8.414	8.43	8.549	7.372	9.023	8.82	7.573	10.03	10.63	7.255	5.518	5.9	9.195	7.734	10.123	8.126	7.839
LYN	5.315	7.74	6.25	8.706	9.053	5.778	8.357	7.682	7.274	7.77	6.019	8.255	8.094	7.477	7.5	6.476	6	5.022	5.714	7.483	7.588	8.359	8.041	7.883
MAF	8.923	8.34	8.18	10.123	9.31	7.185	9.168	9.582	10.343	8.89	7.915	9.732	9.674	9.724	9.503	10.233	9.582	8.253	7.041	9.107	9.939	8.895	10.21	10.649
MAGEA1	5.594	5.922	7.363	9.939	4.42	7.561	5.328	7.821	5.27	9.221	9.74	8.327	7.824	5.328	9.349	7.088	5.509	7.095	6.681	8.232	5.13	5.74	7.431	5.77
MAGEA12	7.81	6.905	7.751	8.91	7.672	8.288	9.624	6.125	6.591	5.435	9.598	5.584	6	7.449	8.869	7.776	7.738	7.483	6.981	5.563	9.993	6.318	8.067	6.839
MAGEA3	10.535	7.767	8.239	12.144	7.394	9.614	11.975	7.513	6.938	10.21	12.786	7.848	7.603	6.938	12.693	7.417	7.795	8.135	8.555	7.664	12.025	7.64	10.833	7.317
MAGEA4	5.762	5.74	7.104	7.467	6.618	7.35	6.146	5.38	4.731	5.006	6.997	4.696	4.655	5.289	5.804	5.882	6.048	6.625	6.131	6	4.904	5.575	4.829	5.699
MAGEB2	8.695	7.558	8.638	7.175	6.553	8.511	8.405	6.668	6.869	5.911	7.965	6.102	7.618	7.417	7.007	7.766	8.041	7.659	7.581	5.977	9.221	7.381	7.317	7.806
MAGEC1	6.713	6.359	7.394	10.737	6.468	7.766	7.095	7.092	6.359	6.01	7.279	5.714	6.174	6.533	6.506	7.185	7.046	7.317	6.832	5.563	8.327	6.54	6.288	7.127
MAGEC2	6.185	6.662	7.405	12.295	7.449	8.202	8.658	7.426	6.547	7.618	7.675	6.533	6.526	6.328	6.966	10.02	7.156	8.182	7.827	6.484	8.372	7.399	8.318	8.316
MAP2K1	8.963	8.124	8.609	10.768	9.67	8.445	10.072	10.522	9.312	9.656	8.067	9.276	9.449	9.323	9.959	8.075	9.484	9.866	8.796	9.303	9.807	9.317	10.101	9.833
MAP2K2	10.903	11.252	9.882	11.599	11.275	7.727	11.754	11.198	11.176	11.505	11.808	10.657	10.938	11.176	12.295	12.109	11.516	9.634	12.051	10.251	11.089	10.88	10.997	11.599
