"","class_1_vs_2","class_1_vs_3","class_1_vs_4","class_1_vs_5","class_1_vs_6","class_1_vs_7","class_2_vs_1","class_2_vs_3","class_2_vs_4","class_2_vs_5","class_2_vs_6","class_2_vs_7","class_3_vs_1","class_3_vs_2","class_3_vs_4","class_3_vs_5","class_3_vs_6","class_3_vs_7","class_4_vs_1","class_4_vs_2","class_4_vs_3","class_4_vs_5","class_4_vs_6","class_4_vs_7","class_5_vs_1","class_5_vs_2","class_5_vs_3","class_5_vs_4","class_5_vs_6","class_5_vs_7","class_6_vs_1","class_6_vs_2","class_6_vs_3","class_6_vs_4","class_6_vs_5","class_6_vs_7","class_7_vs_1","class_7_vs_2","class_7_vs_3","class_7_vs_4","class_7_vs_5","class_7_vs_6"
"T567",0.5,2.67843524537973e-06,1.03895075462467e-13,4.25882345396406e-10,2.09450504036375e-12,2.66554966689101e-15,0.544921875,0.00472724662245128,8.48631249469719e-14,4.1371094994247e-08,2.52633620051894e-11,1.5416739926829e-10,0.999997411521253,0.995435228249164,8.51189601592213e-13,5.92928357340597e-08,9.63755550141308e-17,3.36991385594529e-16,0.9999999999999,0.999999999999918,0.999999999999169,0.942158094233332,0.81931756993646,0.811890416356147,0.99999999959852,0.999999963798473,0.999999942430652,0.0587673083308988,0.0399857313410198,0.952306166291237,0.999999999997996,0.999999999975899,1,0.183989943635298,0.960476188395224,0.761170132436207,0.999999999999997,0.999999999853342,1,0.189726363553455,0.0502033084630966,0.253750626643302
"T571",0.125,0.999999191014166,0.0535082046358411,0.150155174153738,0.0197821216769913,1.66520749469856e-07,0.8984375,0.999999992397733,0.417853692074276,0.999877563019254,0.871244108291985,0.705496008649668,8.39230910639538e-07,8.43118641569164e-09,1.21877141650576e-12,3.6431611710961e-07,7.05196291208417e-14,4.97786983919473e-17,0.946984173024738,0.583798136252736,0.99999999999881,0.999999319749698,0.999220382536361,0.419456461755973,0.852021224843119,0.000130937754875049,0.999999645641604,7.07925263047305e-07,0.0413978671224541,0.00112415105104446,0.980515610964486,0.13023505515141,0.999999999999931,0.000813776241444543,0.959077268727422,0.0541915893554688,0.999999836928733,0.297249095208712,1,0.582878580495728,0.998977348208427,0.950630187988281
"T573",1,0.00609167578812101,2.97599379575067e-07,5.62936359936862e-06,2.06442933351714e-07,2.32288188822885e-07,0.001953125,4.79104755868321e-10,7.06020604260969e-16,9.09494701772928e-11,1.02381580346624e-11,1.39505463527939e-10,0.994030995695908,0.999999999579103,0.00747606873129521,0.0116636757739461,2.32907285507264e-08,0.000243579344884552,0.999999709444864,0.999999999999999,0.992592588980801,0.952391119100609,0.817196579406868,0.997946954451947,0.999994608436053,0.999999999930878,0.988499489256143,0.0484020807090226,0.473700587364909,0.997029826045036,0.999999800218056,0.999999999990242,0.999999977223262,0.186013496418809,0.528487444976278,0.999732971191406,0.999999772468466,0.999999999867306,0.999759316580906,0.00209219946157174,0.00322537869215012,0.000335693359375
"T615",0.326171875,0.999999999993052,0.999999999957117,0.999938089428933,0.999999999999373,0.999918345276225,0.71484375,0.999999999676476,0.999999999175312,0.999999972413207,0.999999999996303,0.99999999980228,7.30064432111866e-12,3.6928327062924e-10,0.420626262415697,0.00041876183838759,0.999999999999273,0.653507067994935,4.41950157997434e-11,8.46560133726791e-10,0.580678598874791,0.0257927952188011,1,0.825288016677908,6.43165052148171e-05,3.16285877488554e-08,0.999589288972255,0.974680194295988,0.999999999999943,0.990110366973293,6.55781001425682e-13,3.88280307778943e-12,7.48517910898461e-13,1.13686837721616e-13,5.93506723232983e-14,3.814697265625e-06,8.29593357277515e-05,2.07771300300529e-10,0.34767339760506,0.176255906501845,0.0105418263398161,1
"T617",0.28515625,0.99838490320661,0.99999999818144,0.999999983587416,0.999999999681659,1,0.751953125,0.999484382675661,0.998869706361546,0.974180488695928,0.999999970103938,0.999999999982923,0.0016529895155903,0.000539071932252,0.999909361481171,0.99999999008626,1,1,1.86927776673905e-09,0.00114634177795057,9.18508885237087e-05,0.800159770542282,0.999999856286592,0.999999999999363,1.73120055518942e-08,0.026738770235196,1.02272472241169e-08,0.202070947998979,0.999977669629599,0.999999992549419,3.31185234035142e-10,3.11207829314619e-08,3.80613788791511e-16,1.53945396776169e-07,2.286468472401e-05,0.999893139042388,7.15487087360384e-17,1.79955116297382e-11,2.96001326664531e-19,6.65585706360613e-13,1.49011611938476e-08,0.000126766939107082
"T627",0.8203125,0.999999999978563,0.999999999999896,0.999999989322305,0.999999999999453,0.999999999999998,0.212890625,0.99999997721369,0.999999999761483,0.999950819379592,0.999999999996303,0.999999999977821,2.24998239721195e-11,2.50727225648007e-08,0.999992864165514,0.592641496170836,1,0.999999999999998,1.07488148679211e-13,2.45158292265924e-10,7.24501623915859e-06,0.143515387681012,1,0.999862999357062,1.12705431448112e-08,5.28980453964323e-05,0.409450802596805,0.85827538156004,0.999999999999962,0.998061001300812,5.72670059253345e-13,3.88223309850597e-12,6.05993312373632e-17,1.13686837721616e-13,3.94636273222417e-14,3.814697265625e-06,1.91440839331206e-15,2.33653906444696e-11,1.65799016880023e-15,0.000140287091007978,0.00211576372385025,1
"T635",0.212890625,0.999998772916005,0.720954064508124,0.626798007155099,0.847924688730983,0.0837740415564174,0.8203125,0.99999824900528,0.167806728473011,0.980771493046632,0.460904598066469,0.984008794882099,1.27108508786741e-06,1.85258009100461e-06,1.15680790186845e-09,3.50744601136774e-05,1.35020258488844e-05,2.67959605236773e-10,0.280573746998354,0.833253230609149,0.999999998866986,0.999979318144408,0.997073923895755,0.641908952382513,0.376756288923514,0.0199464617835474,0.999965711177617,2.1403533509096e-05,0.636894804187182,0.249805510044098,0.15354986794348,0.541877993676117,0.999986731913319,0.00304443028960577,0.365128484806033,0.319847106933594,0.916843573249416,0.01630354928403,0.999999999737436,0.360375350060081,0.757697217166424,0.695270538330078
"T641",0.1015625,0.00222483896261161,0.196677895632213,0.999999999750304,0.343507713082743,0.999999999999963,0.91796875,0.0942509255112327,0.00106815059995816,0.999999999992724,0.00230946951270758,0.999753074522139,0.997824812450878,0.907645750399382,0.760432978902787,0.999999999999962,0.999999995237431,1,0.804577949289066,0.998946890727999,0.240604976281756,0.999999999974958,0.919485088227361,0.999999997838375,2.65054873335302e-10,1.09139364212751e-11,3.94595616650968e-14,2.64136243280902e-11,3.94636273222417e-14,9.21711325645446e-05,0.658787151345922,0.99774067621433,4.8751311692971e-09,0.0823525039428432,0.999999999999962,1,3.75983681228422e-14,0.000254165777440569,1.3036135337163e-16,2.24098063777487e-09,0.999918803572655,3.814697265625e-06
"T647",0.048828125,0.99999999997271,0.0408293901880134,0.185349155522984,0.345808360545193,1.20311431010822e-11,0.962890625,0.999999999999972,0.514348977505483,0.999968554817315,0.968659363714613,0.0927612359885358,2.86356482927904e-11,5.68434188608081e-14,5.14196284753182e-18,5.93386167324329e-14,2.3502893475619e-15,1.01094988040131e-18,0.959566854989397,0.487338532785347,1,0.999770696811854,0.999961877765031,0.130497623235305,0.817145314388794,3.39201287715696e-05,0.999999999999943,0.000236240336183128,0.781055229710121,0.0100008770823479,0.656492286917257,0.0318385092449456,0.999999999999998,4.04926356623037e-05,0.220538817308542,0.000644683837890625,0.999999999988289,0.908517951517142,1,0.870766282040776,0.990672379732132,0.999477386474609
"T661",0.8203125,8.79021990088303e-12,6.6799586262343e-15,3.97628256556764e-06,2.49840615427536e-12,1.87719177488287e-12,0.212890625,8.52651282912121e-14,3.92991450133771e-16,2.5465851649642e-10,3.88280307778943e-12,1.79924928297413e-11,0.999999999991643,0.999999999999943,3.02530519929026e-05,0.999646041533734,2.89437087769169e-13,0.000171516530793613,0.999999999999994,1,0.999970171883939,0.999999380781079,0.0653193079613175,0.980460318175187,0.999996194256023,0.999999999799911,0.000361116719243983,6.45190831528734e-07,6.16549729841572e-13,0.00349924713373184,0.999999999997609,0.999999999996303,0.999999999999719,0.936224558923641,0.999999999999408,0.999992370605469,0.999999999998175,0.999999999982926,0.999830570039867,0.019844932834617,0.99677462130785,1.1444091796875e-05
"T663",0.248046875,0.999935518816184,3.28405729508559e-07,0.000117035782954298,2.35378958297946e-05,3.2505916334007e-13,0.787109375,0.999978436734551,1.14271596749859e-08,0.00915769392304355,2.7726683510872e-05,1.25868886051778e-07,6.63887595851787e-05,2.28611035026916e-05,2.38538666921416e-17,8.01216192628459e-10,9.32437726437624e-17,4.55276176085309e-19,0.999999679203219,0.999999988848046,1,0.999278797922472,0.999733073762172,0.73883153672383,0.99988719190791,0.991214586287242,0.999999999225078,0.000741260919566792,0.323506735684746,0.206998665426829,0.999977085224083,0.999973088975003,1,0.000280878225225934,0.678426147522174,0.724563598632812,0.999999999999684,0.999999879230511,1,0.263116018193657,0.79979950587921,0.289920806884766
"T665",0.751953125,0.693707612008991,0.999999999995905,0.304726666309152,0.407395754303168,0.00150629434022564,0.28515625,0.935780482725022,0.999999999992085,0.579524730284902,0.0773315275964831,0.552357533992799,0.308817655772779,0.0656685566121098,0.999999999999753,0.151116284903615,0.00110866618443904,9.909669049449e-07,4.22628961555891e-12,8.14883079234462e-12,2.52716132103694e-13,3.51344979330289e-10,4.21778167947196e-11,1.57230715072301e-11,0.698547458855419,0.426089213837258,0.850142509735939,0.999999999665872,0.847617904876628,0.813247032463551,0.595027064638098,0.923679268849042,0.998905894440506,0.999999999965098,0.153654923081942,0.00448226928710938,0.998512979529191,0.45070610719406,0.999999024596075,0.999999999984902,0.193246483802795,0.99615478515625
"T671",0.001953125,1.08318460578836e-11,1.42204007022357e-15,4.25972605980661e-10,8.21601765557849e-13,6.06034585968659e-17,1,0.00111552457065996,2.33221363448317e-12,0.00320703228932322,1.13768307646167e-11,7.38875090028482e-10,0.999999999989688,0.998927147424489,6.71443084588398e-10,0.988499365121253,6.47977662630025e-11,4.49193718906515e-11,0.999999999999999,0.999999999997738,0.999999999342559,0.999999346319822,0.0120164498546274,0.985647403342389,0.999999999598434,0.996942382099839,0.0116638011389162,6.80315426208846e-07,3.4927523679874e-12,0.00809501111507416,0.999999999999215,0.999999999989168,0.999999999936868,0.988372930316132,0.999999999996636,0.999539595285468,1,0.999999999295798,0.999999999956023,0.0145768742499272,0.992467813193798,0.000544757222892021
"T685",0.8203125,0.399757318786239,0.999999999998669,0.0987248251721073,0.0958524508784747,0.0701977326610553,0.212890625,0.000509623801645928,0.999993230737828,0.0351204316947316,0.000847994766589855,0.304677290379677,0.603083646069965,0.999511085619437,0.99999999999999,0.192876508159732,0.0353979782853227,0.0846232258524616,1.37555559760058e-12,6.90347486094414e-06,1.04931215836649e-14,5.06627599866549e-09,1.13686837721616e-13,8.81320843480182e-12,0.90289501279476,0.966032714341072,0.808595474185434,0.999999995165643,0.895974057116032,0.719033740460873,0.905205986819188,0.999172557692623,0.964909597497159,1,0.105022306733078,0.616985321044922,0.930333289291038,0.698028031931355,0.915871483315359,0.999999999991549,0.289030492305756,0.39935302734375
